form	lemma	POS	morph
པ་	པ་	OTHER
ར་	ལ་	PART
བསྐྲུན་	བསྐྲུན་	NO_POS
གསལ་	གསལ་	VERB
བཤད་	བཤད་	VERB
"།

༄༅། །"		PUNCT
སྟོན་པ་	སྟོན་པ་	NOUN
བདེ་བ་	བདེ་བ་	VERB
ར་	ལ་	PART
གཤེགས་པ་	གཤེགས་པ་	VERB
ས་	གིས་	PART
མདོ་སྡེ་	མདོ་སྡེ་	NOUN
དུ་མ་	དུ་མ་	ADJ
ན་	ནས་	PART
ལུང་	ལུང་	NOUN
གིས་	གིས་	PART
བསྔགས་པ་	བསྔགས་པ་	VERB
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
དཔལ་མགོན་	དཔལ་མགོན་	OTHER
འཕགས་པ་	འཕགས་པ་	VERB
ཀླུ་སྒྲུབ་	ཀླུ་སྒྲུབ་	PROPN
ཀྱིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
བཀའ་འཁོར་	བཀའ་འཁོར་	NO_POS
ལོ་བ་	ལོ་བ་	NO_POS
ར་པ་	ར་པ་	PART
འི་	གི་	PART
དགོངས་འགྲེལ་	དགོངས་འགྲེལ་	NOUN
རིགས་	རིགས་	NOUN
ཚོགས་	ཚོགས་	NOUN
ཀྱི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
དབུ་མ་	དབུ་མ་	PROPN
རྩ་བ་	རྩ་བ་	NOUN
ཤེས་རབ་	ཤེས་རབ་	NOUN
འདི་ཉིད་	འདི་ཉིད་	OTHER
ཀྱི་	གི་	PART
དགོངས་འགྲེལ་	དགོངས་འགྲེལ་	NOUN
ཐལ་རང་	ཐལ་རང་	NO_POS
གི་	གི་	PART
གཞུང་	གཞུང་	NOUN
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
བཞུགས་	བཞུགས་	VERB
ཡོད་པ་	ཡོད་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཆེ་	ཆེ་	VERB
ཁྱད་པར་	ཁྱད་པར་	NOUN
དུ་	ལ་	PART
འཕགས་པ་	འཕགས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
ཟླ་བ་	ཟླ་བ་	NOUN
གྲགས་པ་	གྲགས་པ་	VERB
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
དབུ་མ་	དབུ་མ་	PROPN
རྩ་ཤེ་	རྩ་ཤེ་	OTHER
ས་	གིས་	PART
ཀྱི་	གི་	PART
དགོངས་པ་	དགོངས་པ་	VERB
རང་	རང་	PRON
རྐང་	རྐང་	NOUN
དུ་	ལ་	PART
འགྲེལ་པ་	འགྲེལ་པ་	NOUN
དོན་འགྲེལ་	དོན་འགྲེལ་	OTHER
དབུ་མ་	དབུ་མ་	PROPN
འཇུག་པ་	འཇུག་པ་	VERB
དང་	དང་	NO_POS
