form	lemma	POS	morph
ད་ནི་	ད་ནི་	NO_POS
སེམས་བསྐྱེད་པ་	སེམས་བསྐྱེད་པ་	NOUN
བདུན་པ་	བདུན་པ་	NUM
འི་	གི་	PART
དབང་	དབང་	NOUN
དུ་	ལ་	PART
བྱ་	བྱ་	VERB
ན་	ནས་	PART
བཤད་པ་	བཤད་པ་	VERB
།		PUNCT
རིང་	རིང་	NOUN
དུ་	ལ་	PART
སོང་བ་	སོང་བ་	VERB
འདི་	འདི་	DET
ར་	ལ་	PART
ནི་	ནི་	NO_POS
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
དང་	དང་	NO_POS
།།		PUNCT
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
ལ་	ལ་	PART
ནི་	ནི་	NO_POS
འགོག་པ་	འགོག་པ་	VERB
ར་	ལ་	PART
འཇུག་	འཇུག་	VERB
འགྱུར་	འགྱུར་	VERB
ཞིང་	ཅིང་	PART
།།		PUNCT
ཐབས་	ཐབས་	NOUN
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཕྱིན་	ཕྱིན་	VERB
ལེགས་	ལེགས་	VERB
འབར་བ་	འབར་བ་	VERB
ཐོབ་	ཐོབ་	VERB
།།		PUNCT
		
འགོག་པ་	འགོག་པ་	VERB
ལ་	ལ་	PART
སྙོམས་པ་		
འཇུག་པ་	འཇུག་པ་	VERB
ནི་	ནི་	NO_POS
ཡང་དག་པ་	ཡང་དག་པ་	ADJ
འི་	གི་	PART
མཐའ་	མཐའ་	NOUN
ལ་	ལ་	PART
སྙོམས་པ་		
འཇུག་པ་	འཇུག་པ་	VERB
ཡིན་པ་	ཡིན་པ་	AUX
ས་	གིས་	PART
།		PUNCT
དེ་བཞིན་ཉིད་	དེ་བཞིན་ཉིད་	NOUN
ལ་	ལ་	PART
འགོག་པ་	འགོག་པ་	VERB
ཞེ་	ཅེས་	PART
བརྗོད་	བརྗོད་	VERB
དེ་	སྟེ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
སྤྲོས་པ་	སྤྲོས་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
འགག་པ་	འགག་པ་	VERB
ར་	ལ་	PART
འགྱུར་བ་	འགྱུར་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
རོ་	རོ་	NOUN
།།		PUNCT
ས་	ས་	ADP
བདུན་པ་	བདུན་པ་	NUM
རིང་	རིང་	NOUN
དུ་	ལ་	PART
སོང་བ་	སོང་བ་	VERB
འདི་	འདི་	DET
ར་	ལ་	PART
ནི་	ནི་	NO_POS
ས་	ས་	ADP
དྲུག་པ་	དྲུག་པ་	NUM
ཐོབ་པ་	ཐོབ་པ་	VERB
འི་	གི་	PART
འགོག་པ་	འགོག་པ་	VERB
